,NB-Kaiser,NB-Remez,HB-IIR+WB-Kaiser,HB-IIR+WB-Remez,LIDL,CIDL,naive,base
140923_burning_sunn_LSTM-40,-83.4377616663934,-46.026479030538866,-10.821555690758343,-10.777232204800658,-44.68822620941256,-58.71629521073517,-18.57276906542677,
BossDs-1(Dist_12oclock),-69.60172449787613,-46.28331176734034,-10.604945763939263,-10.557277540504508,-44.38808821832553,-39.31520735749038,-13.784229267701134,
Cornish G2 (S10 T6 V10),-90.71638364131711,-56.367136385051026,-15.319515749464896,-15.298317929849606,-51.5681810556004,-75.65647669764635,-17.341903319798792,
ODN-CP-AP-1D-S4-G6-MSL-HVY,-70.43218472309515,-48.03256717085244,-12.499694362567208,-12.450171357979354,-41.00991719958183,-61.17057517242045,-9.235132460646291,
ODN-DR-AP-1D-CH3-RED-PD1-HVY,-70.00486289645383,-47.38135661878228,-10.267081610329548,-10.210715412467017,-42.57332193549029,-63.4295681636741,-8.772025405096942,
ODN-Greenie-AP-2B BLUE G5 B+F-HVY,-112.70718828769992,-56.07208242920447,-15.30004299340373,-15.285704436754065,-11.522161515829454,5.200584631546665,-17.343875080870365,
ODN-HERBIE-AP-2B-L-KT77-HVY,-65.64457447332848,-45.95130069351387,-11.16859867242054,-11.124228014135275,-41.079812750330866,-60.05272270414355,-8.44172342023449,
ODN-PB-AP-2E-TUBE PILOT DRIVE 2-HVY,-66.11671482987884,-43.97386075773815,-11.470552496574026,-11.42018090372069,-31.95207910497099,-50.586451115997825,-4.23661766794649,
ProCoRatPedalGain7oclockFilter12oclock+Peavey212LeadChannelBoost(LSTM20),-91.93272633302372,-51.07881530475538,-12.987471748234979,-12.965526708175743,-45.46562564690249,-68.72303899767194,-12.735093137266563,
RevvG3_Pedal_Switch_Red_Gain_12_Oclock_LSTM20,-83.92301973699246,-44.51544351699469,-13.527924472584441,-13.077987879888218,-44.19435998467368,-62.736395607615854,-13.198371905256199,
SYN_PLEXI_6L6_AP-1B_BOOST_HVY,-67.09666758361617,-43.85363893927411,-9.181300317428851,-9.127286902318902,-38.23910337019495,-55.13124822508681,-8.491453502872771,
Tech21-VTBass-C060-G060_high_CharlyR,-97.12963013249528,-52.71141292139405,-13.721810402001687,-13.709621483881422,-50.69647204018756,-77.2767592197672,-21.022998677828525,
bandmaster clean,-138.72833887552918,-55.59360213760549,-15.534502120076821,-15.518880054527015,-61.82708054158581,-18.515325845635115,-30.453001754414263,
bandmaster high gain,-78.77571685401814,-48.52563362247381,-12.537423336714296,-12.497960335814167,-42.53111174830179,-57.37590497600809,-17.016157563792827,
bandmaster med gain,-101.69661873986747,-55.03197899880825,-14.257200997855447,-14.231966633303095,-53.68007106085677,-84.30774037737542,-17.931321653530983,
peavey_6505plus_lead_desktop_aidadsp,-63.300253667061085,-42.84495491031521,-8.875348491118736,-8.827905575374482,-40.58158941652504,-56.63752549917131,-7.376359609263606,
tw40_blues_deluxe_deerinkstudios,-132.22988445475454,-55.61957917747572,-15.483275852786589,-15.467945421794326,-50.47917120223149,-88.83571455881969,-18.710883307612896,
tw40_blues_solo_deerinkstudios,-110.25189998655455,-55.37220290522055,-14.625355531302974,-14.607505820126015,-50.99237048819196,-84.70070965188296,-17.00088652168905,
tw40_british_lead_deerinkstudios,-74.13252381039237,-45.633997949134766,-9.963239868239713,-9.917617841014843,-42.41363727518595,-62.139419466648334,-8.447324930795766,
tw40_british_rhythm_deerinkstudios,-113.47554111029218,-56.09305352057719,-15.118031553551448,-15.102007439203902,-50.9366205809054,-85.23965650893656,-16.27664387749573,
tw40_california_clean_deerinkstudios,-128.9515395759222,-56.080986524344596,-15.517251319499657,-15.503433774365355,-66.69286104102258,-103.28215308452614,-34.528055230670674,
tw40_california_crunch_deerinkstudios,-118.36631313064336,-55.87409564919703,-15.089221329294373,-15.074711887959232,-49.47907545553482,-85.63820379264016,-15.74435674596719,
