metric,27.5,29.135,30.868,32.703,34.648,36.708,38.891,41.203,43.654,46.249,48.999,51.913,55.0,58.27,61.735,65.406,69.296,73.416,77.782,82.407,87.307,92.499,97.999,103.826,110.0,116.541,123.471,130.813,138.591,146.832,155.563,164.814,174.614,184.997,195.998,207.652,220.0,233.082,246.942,261.626,277.183,293.665,311.127,329.628,349.228,369.994,391.995,415.305,440.0,466.164,493.883,523.251,554.365,587.33,622.254,659.255,698.456,739.989,783.991,830.609,880.0,932.328,987.767,1046.502,1108.731,1174.659,1244.508,1318.51,1396.913,1479.978,1567.982,1661.219,1760.0,1864.655,1975.533,2093.005,2217.461,2349.318,2489.016,2637.02,2793.826,2959.955,3135.963,3322.438,3520.0,3729.31,3951.066,4186.009
ESR,-98.09739073790163,-100.82804068206416,-99.70842491270916,-100.1901169301808,-103.30073998438364,-101.39989295050438,-104.13414844095668,-105.28837638852949,-106.31389734503092,-107.09512610046536,-105.5276647795517,-106.82769429605874,-110.32924513851373,-111.31437537803984,-112.55484105608032,-112.52071303244789,-114.97790421604071,-116.27481744369956,-115.33569146924452,-116.59971421828388,-115.83172678897974,-117.25108317509724,-120.1492989600251,-118.90509364448614,-119.07978053930748,-122.71871874463848,-124.06467797271333,-124.00857162286556,-125.36328074856743,-124.5482646101538,-124.91155378739404,-123.46073217429053,-124.31915051102403,-124.01020057336916,-124.69193728104352,-122.65477535197934,-120.89781593391852,-120.3520333412883,-120.05555607230886,-119.6217201773037,-118.00412314139896,-118.928085982096,-117.2049146131042,-117.02681853837107,-116.47756252187344,-116.55892969959164,-116.67819068719896,-116.7666481321798,-117.30899978687536,-116.42401478584698,-115.10482309907457,-117.04644217833568,-117.915212220192,-117.9774461344949,-117.85264893076167,-119.47327803063214,-118.4328975587046,-118.54566198841223,-120.5699074800926,-120.28538015794987,-123.12273393869228,-124.67572767892852,-126.75816433844211,-131.86257734027123,-133.14456418666458,-137.03408316712594,-130.0752484191834,-135.51854668119572,-134.2548052818979,-128.70385874668676,-129.76900299581936,-129.26944570523276,-131.97520198488806,-134.22327482650144,-135.59605174460953,-135.80810762854497,-139.16440590275243,-136.1248115860229,-138.0842513963887,-138.30272751973536,-139.4363821269498,-138.3595679157156,-136.81413830226768,-134.49042367804896,-134.1458775045093,-132.13705852192444,-130.04689952400338,-129.36368354257712
ASR,-128.6532190526042,-130.14295014541034,-129.85413852875615,-129.37758296985518,-130.1141359549679,-130.76983316700623,-133.36955274723118,-135.40933848697793,-136.65443436863728,-137.13544486534616,-139.8253751077587,-140.23302052952758,-143.07363745100469,-142.59186490508196,-148.9951270751933,-140.54941450988258,-146.19628403862063,-142.08487065600607,-161.85108023242643,-156.84196242656753,-152.84299985796545,-166.87526629170654,-154.16704880334257,-165.26222397791224,-158.1937038392186,-164.07058288158777,-145.11271718723,-145.06805274360437,-164.28394437729017,-144.87134432114763,-144.19277060885244,-145.14346190980834,-161.61745777988224,-144.1850763980248,-162.91429834039434,-144.3110739634259,-161.29251310577453,-144.54537834367457,-144.8458933855916,-145.1073461045661,-152.97536140984607,-145.81041811848235,-145.8482013799004,-146.43429616334032,-149.51364792165663,-161.98117109191543,-164.21419217460445,-157.55175519253834,-169.23520298851503,-155.18997830135473,-148.6391993519687,-149.85637508868183,-148.95514215063403,-152.20945526862047,-157.50042293007618,-150.13501334551287,-149.5009507192382,-150.2752812172489,-150.37987391680218,-150.99621285312787,-151.22339308952522,-168.6126937498125,-151.9727131887348,-144.12624478043895,-150.29243946538622,-157.72995698079825,-154.39807398062837,-156.14221027749616,-152.14200137794904,-145.97851936715503,-145.4627131075974,-155.89229057773898,-145.49831779461917,-145.60807400807164,-153.83998956303816,-151.2323302421034,-150.0929772869317,-147.75899142618508,-152.45644131150505,-152.83275089405822,-154.4503473743844,-154.9433083709486,-155.7449622002319,-152.17233374916898,-154.2725192412948,-162.04157396768207,-160.6997602452563,-158.5568123015002
MESR,-98.195248291358,-101.24593081579476,-100.47999604381089,-100.88551975196258,-103.93422697539047,-101.91298230058352,-104.8120889314648,-106.04628970691353,-107.31682894708156,-109.526224011204,-106.01785852173218,-108.43523310172236,-112.38371931262108,-114.65884307898452,-117.540492945963,-117.42279530286211,-119.5081772465649,-120.96711240831904,-120.9002314517355,-123.95044403019124,-124.26878032740684,-125.76896456620268,-127.955331026183,-127.22409912166088,-129.3470808024107,-128.9820305915297,-131.53821170912445,-130.32134328611428,-136.84621427971763,-134.83728519219238,-134.1439260565234,-136.8980221302319,-134.58500275518773,-127.70842779427996,-127.65486969168774,-126.75599695342792,-127.12157923050516,-126.0848058099948,-122.01135754498476,-127.1572515972158,-122.6192061031054,-122.78848699278704,-121.22965559472468,-122.4903705839465,-121.01062848119948,-120.29175870207588,-124.40954747069296,-126.370486052364,-125.46735582073867,-126.94917514281828,-119.14880715896658,-126.93856925410957,-130.30961477456515,-137.0626518689053,-136.21122237555602,-136.6274983016548,-130.89897745515788,-129.39673830875583,-138.37817252537317,-133.86740440409983,-134.95503302120264,-132.35122704509186,-133.38469945931186,-140.97028749214826,-136.92471825636736,-139.26187418164733,-130.9376525812995,-138.71198515554326,-139.42771060201443,-130.7459927492795,-131.92331610153568,-131.76705641120816,-134.97217354205964,-137.3928581302255,-139.03980503739547,-140.42321403887507,-148.42913601752304,-146.25332487001805,-155.09659162905186,-147.94075943689612,-147.5769808173252,-142.83413109301077,-139.3013881723965,-135.28242621914234,-134.40385016246464,-132.36010294368918,-130.02369787710575,-129.6651202725041
NMR,-116.73096995793652,-116.73961931419632,-116.74880315137558,-116.75908002813097,-116.76947004679724,-116.77974126603408,-116.79069706109412,-116.80192223994868,-116.81370651931483,-116.82549601696796,-116.83883388600653,-116.8528488631788,-116.86838297776085,-116.8883465046561,-116.91491294942834,-116.94869781511784,-116.9916921700391,-117.04193644416068,-117.10030801692643,-117.16795753451912,-117.2449144712773,-117.33694980108912,-117.4338059561223,-117.54869607507504,-117.67345759958384,-117.825423058262,-118.00179283202664,-118.19983414980976,-118.4168222416618,-118.62778881900928,-118.8251905731696,-119.0408855303064,-119.25605451225417,-119.51610118319068,-119.7612585397082,-120.15374044017406,-120.59188079081794,-121.13197720480288,-121.74653711413325,-122.39604824376948,-118.89305606841432,-124.54418497404188,-113.3901138491174,-119.44256671407294,-112.93985215593592,-130.09611269147524,-132.6839179712847,-126.38461659184016,-136.98270525809585,-118.52624607624998,-120.81480651856651,-125.04235079361165,-134.09579445911072,-135.20048347099114,-128.00570290924185,-129.27055532364466,-126.37816488175628,-132.31286348423004,-131.64624933887413,-122.83865907381887,-130.3772334660267,-126.00367383179886,-115.9218887962972,-124.4856830861456,-123.55000567844492,-127.86097121628268,-118.44059816855705,-118.4279417983769,-119.49583250574196,-126.40670328582524,-125.9687859433964,-121.95666033419312,-125.55997682160934,-125.16751915221258,-118.69410501256368,-122.88945615340592,-117.77569767675078,-123.846735236377,-123.45254578950004,-122.86304576679524,-120.18484301041816,-120.34643236608191,-122.8555761145648,-119.97714441799891,-122.71421376612815,-122.47525063553782,-121.64720405384212,-121.761955660552
SNR-audio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
