,NB-Kaiser,NB-Remez,HB-IIR+WB-Kaiser,HB-IIR+WB-Remez,LIDL,CIDL,naive,base
6505Plus_Red_DirectOut,-74.62839920705174,-43.57951204782058,-74.12792078087436,-53.0656237240936,-35.936397723081356,-58.841708630438944,-24.95666051140145,
BlackstarHT40_AmpClean,-129.71907917473297,-55.78702948983064,-107.43125279941468,-72.2484669402064,-48.57648194135706,-95.8403127772539,-26.126179268514953,
BlackstarHT40_AmpHighGain,-102.46696223525838,-46.30497303401025,-93.80651366160109,-60.71821202673305,-34.447401226940336,-62.18546122740407,-15.88913111292898,
BossMT2_PedalHighGain,-94.35652885571935,-49.60523180016582,-88.6200930092739,-62.10460539827382,-49.53949847848699,-79.46983250774912,-21.49771240685924,
DumbleKit_HighG_DirectOut,-98.14214643843971,-45.07031749276475,-88.80541002988402,-58.06711027258564,-30.551742796249858,-60.112522128230054,-18.67019466310076,
DumbleKit_LowG_DirectOut,-122.89552233342398,-54.98175883228748,-102.34453742212608,-71.2338331446129,-36.47757009160703,-82.53396918297314,-19.942293193196406,
GoatPedal_HighGain,-81.31172889624327,-50.772049375091406,-81.99492058944818,-60.44110909106892,-46.30568579767199,-71.13012508309122,-16.421530388133245,
LittleBigMuff_HighGainPedal,-98.2076834681307,-48.067549941320635,-91.86573439476933,-61.08549050649715,-59.86061122353106,-89.02378864804159,-27.970509790993233,
MatchlessSC30_Ch1_DirectOut,-125.9081720390198,-56.961790970136626,-106.81770349115627,-71.97059115843982,-50.2023734787275,-94.97035992663422,-31.213692955570483,
MesaIICplus_Drive8_5EQoff,-67.70060124266068,-45.41734768429367,-71.26841395739339,-54.175093352930155,-39.032723370640035,-62.8776192789222,-27.179503374566956,
MesaMiniRec_HighGain_DirectOut,-64.18145307621957,-42.36649773939824,-67.16716846093735,-51.262012265783476,-53.38450245425002,-65.5968351459082,-25.84739592443935,
PlexiBreed_JTM_pedal,-127.66474224307777,-53.29557259959327,-102.94462837221774,-68.40923141620539,-43.582256771339644,-79.37278296793248,-29.355361863514755,
PrincetonAmp_Clean,-131.3428095530392,-56.53347892023427,-109.33856039023136,-72.82353260036831,-53.675456055815964,-98.94631192028523,-25.089257811765744,
ProcoRatPedal_HighGain,-102.94382486445858,-49.326981330655826,-93.0553305264066,-62.298838399273876,-51.15083203305142,-77.05469376773652,-35.43879886410585,
RockmanAcoustic_Pedal,-126.4726283262723,-55.311687562082085,-108.90369333706984,-71.0725052849879,-50.65331617973181,-99.44815281321898,-21.26591908276662,
RockmanXPR_HighGain,-81.49528366216981,-46.63764189850824,-82.0256564881921,-57.970861826442636,-45.84256398690879,-68.05991313514379,-20.48098820931568,
Sovtek50_StampedeDT_DIRECT,-47.890815063762396,-33.373726694562535,-53.67841101490038,-40.68432359266774,-26.05715769777222,-41.86670265057312,-21.684541805587028,
Splawn_OD_FractalFM3_HighGain,-79.87791171757694,-47.534840292876645,-78.98041858627629,-57.84366577689289,-48.95941494947589,-66.81762096911038,-27.800489707772556,
XComp_Pedal,-137.00197410599242,-59.5356707871989,-113.97420634404193,-76.3822156898253,-71.880399638256,-110.89669020505953,-38.66908664246899,
