,NB-Kaiser,NB-Remez,HB-IIR+WB-Kaiser,HB-IIR+WB-Remez,LIDL,CIDL,naive,base
6505Plus_Red_DirectOut,-40.04322760387507,-32.21478597711505,-41.64380837383513,-34.52434433090147,-75.79690142846539,-73.60638153562125,-43.65274843790069,-41.82417324566732
BlackstarHT40_AmpClean,-59.666612638143995,-44.68224310738173,-60.277192244771236,-47.37644987734637,-118.02279873752515,-117.98416504300967,-61.85096150373054,-62.398843206346186
BlackstarHT40_AmpHighGain,-51.332269018022025,-35.89254577157371,-50.75966316513597,-37.84203386328588,-81.96416924951107,-82.78552877404817,-56.69421901895146,-55.857140533323154
BossMT2_PedalHighGain,-50.44146777943922,-37.83565304090286,-52.25191804021661,-39.90011882007433,-88.0725664403932,-88.17358673987138,-55.229955518431986,-53.61661319194126
DumbleKit_HighG_DirectOut,-62.12805886640192,-49.26172173575684,-61.61545585496087,-51.6186546557816,-94.73455686155866,-90.35512424097384,-64.61275603762145,-63.43825884061841
DumbleKit_LowG_DirectOut,-51.234077613043866,-41.77679428488038,-50.77674256102064,-43.85689612056995,-119.19237354604353,-119.15343144213739,-51.12903555710256,-51.91443143504036
GoatPedal_HighGain,-26.39196305157312,-17.028209313860245,-30.08573630952038,-17.945640605660262,-67.74021234154303,-67.68673614061241,-32.49027127286165,-30.92706985285713
LittleBigMuff_HighGainPedal,-57.03472194062538,-44.14120043901469,-56.44434403351988,-45.45181624229355,-84.34432386304911,-84.63561362951742,-65.77829800736548,-62.090819813137685
MatchlessSC30_Ch1_DirectOut,-54.03573509080854,-34.46842830945395,-57.94976891805304,-36.500543535712104,-113.02909805606114,-112.69538413061919,-60.26649655076696,-60.13867716968112
MesaIICplus_Drive8_5EQoff,-36.80660624667564,-30.569994079978358,-36.51760584568767,-31.16763115490438,-61.49145826661518,-57.293939196485866,-41.131080069487666,-37.44517383457269
MesaMiniRec_HighGain_DirectOut,-25.300789344682233,-19.880437885870034,-27.025386092385535,-20.45415016734415,-46.82356275936172,-46.70632191028366,-30.12835871548595,-27.473620450187294
PlexiBreed_JTM_pedal,-63.33257215062407,-43.43435668107048,-63.26903152932983,-45.515021121575884,-112.71219083549039,-112.39487608855922,-72.45927498929629,-71.82449300881531
PrincetonAmp_Clean,-59.10455832121574,-37.72990739009954,-62.181987396931895,-40.65827791013382,-116.66593928168119,-116.5365057476884,-68.38306272522594,-68.53239125994375
ProcoRatPedal_HighGain,-56.838374503634164,-44.2911202638034,-57.18748924555693,-46.033272884729996,-88.13481007415231,-88.28055417618535,-64.05005602245636,-61.695843400838754
RockmanAcoustic_Pedal,-51.726323912417,-29.799990357230502,-55.44889788292141,-31.203031309338186,-115.38195326559303,-115.16477967360275,-61.16706537766022,-60.405082442688496
RockmanXPR_HighGain,-32.111323870714095,-23.126134242781973,-34.18936468035574,-24.619346262503857,-74.705644910576,-75.2167060749236,-36.64147958254055,-35.1367975937025
Sovtek50_StampedeDT_DIRECT,-32.9432425877184,-27.677195880115793,-33.478908463844824,-27.88646614664225,-54.62612543146672,-49.05454015104777,-35.9193191401416,-33.74533882834606
Splawn_OD_FractalFM3_HighGain,-30.212640420795363,-22.95662412506832,-31.007102972280077,-23.94512371466446,-57.04873704410245,-58.74812313963275,-32.15942939183346,-31.47394539922842
XComp_Pedal,-60.75716222233371,-41.64678490127092,-65.14374098109174,-44.74617968092044,-116.33989175259975,-116.34005524194563,-74.51644051103993,-74.10081384111035
